# marvel-crawler — Street_Fighter_characters crawl (2026-09-10)
# Wikipedia Category:Street_Fighter_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 53 nodes, 299 directed edges.
# 1 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Twelve_(Street_Fighter)	Necro_(Street_Fighter)
Twelve_(Street_Fighter)	Q_(Street_Fighter)
Vega_(Street_Fighter)	Balrog_(Street_Fighter)
Vega_(Street_Fighter)	M._Bison
Yun_and_Yang	Alex_(Street_Fighter)
Yun_and_Yang	Chun-Li
Yun_and_Yang	Gill_(Street_Fighter)
Yun_and_Yang	Ken_Masters
Yun_and_Yang	Ryu_(Street_Fighter)
Zangief	Blanka
Zangief	Cammy
Zangief	Dee_Jay
Zangief	E._Honda
Zangief	Guile_(Street_Fighter)
Zangief	M._Bison
Zangief	Rufus_(Street_Fighter)
Zangief	Ryu_(Street_Fighter)
Zangief	Sakura_Kasugano
