# marvel-crawler — Marvel_Comics_supervillains crawl (2026-09-13)
# Wikipedia Category:Marvel_Comics_supervillains: one node per page; edge A -> B
# when the article of A links to the article of B. 370 nodes, 1136 directed edges.
# 43 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Foreigner_(character)	Grizzly_(comics)
Foreigner_(character)	Hobgoblin_(Marvel_Comics)
Foreigner_(character)	Jason_Macendale
Foreigner_(character)	Sabretooth_(character)
Foreigner_(character)	Sin_(Marvel_Comics)
Gargoyle_(comics)	Hulk
Gargoyle_(comics)	Leader_(character)
Gemini_(Marvel_Comics)	Scorpio_(Marvel_Comics)
Gemini_(Marvel_Comics)	Taurus_(Marvel_Comics)
Gemini_(Marvel_Comics)	Thanos
Gentleman_(character)	Mysterio
Giganto	Kro_(character)
Giganto	Mole_Man
Giganto	Morbius
Gladiator_(Melvin_Potter)	Alexander_Bont
Gladiator_(Melvin_Potter)	Masked_Marauder
Gladiator_(Melvin_Potter)	Mister_Fear
Glenn_Talbot	Hulk
Glenn_Talbot	Thunderbolt_Ross
Glob_(comics)	Glob_Herman
Glob_(comics)	Hulk
Glob_(comics)	Leader_(character)
Golem_(Marvel_Comics)	Doctor_Nemesis
Gorgon_(Inhuman)	Psycho-Man
Gorgon_(Inhuman)	Sphinx_(Marvel_Comics)
Green_Goblin	Hobgoblin_(Marvel_Comics)
Green_Goblin	Norman_Osborn
Green_Goblin	Phil_Urich
Green_Goblin	Silvermane
Green_Goblin	Venom_(character)
Gremlin_(comics)	Apocalypse_(character)
Gremlin_(comics)	Gargoyle_(comics)
Gremlin_(comics)	Glenn_Talbot
Gremlin_(comics)	Hulk
Gremlin_(comics)	Thunderbolt_Ross
Grizzly_(comics)	Apocalypse_(character)
Grizzly_(comics)	Jackal_(Marvel_Comics_character)
Grizzly_(comics)	Kangaroo_(character)
Grizzly_(comics)	Norman_Osborn
Grizzly_(comics)	Spot_(Marvel_Comics)
Grizzly_(comics)	Tinkerer_(Marvel_Comics)
Guardsman_(character)	Eddie_Brock
Guardsman_(character)	Firepower_(comics)
Guardsman_(character)	Force_(comics)
Guardsman_(character)	Iron_Monger
Guardsman_(character)	Mentallo
Guardsman_(character)	Sentry_(Curtis_Elkins)
Guardsman_(character)	Shockwave_(comics)
Hammer_and_Anvil_(comics)	Hulk
Hangman_(Marvel_Comics)	Locksmith_(comics)
Harold_Meachum	Master_Khan
Hate-Monger	Psycho-Man
Headsman_(character)	Green_Goblin
Headsman_(character)	Nuke_(Marvel_Comics)
Hippo_(character)	Grizzly_(comics)
Hippo_(character)	Looter_(character)
Hippo_(character)	Mac_Gargan
Hippo_(character)	Mirage_(Marvel_Comics)
Hippo_(character)	Porcupine_(character)
Hive_(character)	Baron_Strucker
Hive_(character)	Norman_Osborn
Hobgoblin_(Marvel_Comics)	Beyonder
Hobgoblin_(Marvel_Comics)	Black_Cat_(Marvel_Comics)
Hobgoblin_(Marvel_Comics)	Foreigner_(character)
Hobgoblin_(Marvel_Comics)	Green_Goblin
Hobgoblin_(Marvel_Comics)	Jason_Macendale
Hobgoblin_(Marvel_Comics)	Norman_Osborn
Hobgoblin_(Marvel_Comics)	Phil_Urich
